String;Band;BsbId;Seite;Link;alternativ
Thietmar von Merseburg, Chronicon, ed. Robert Holtzmann (MGH SS rer. Germ. N.S. 9), Berlin 1935.;MGH SS rer. Germ. N. S. 9;689;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._N._S._9;
Hugo von Farfa, Destructio monasterii Farfensis, ed. Ludwig C. Bethmann, in: MGH SS 11, Hannover 1854, S. 532-539.;MGH SS 11;942;532;http://www.mgh.de/dmgh/resolving/MGH_SS_11_S._532;
Liudprand von Cremona, Antapodosis, in: Die Werke Liudprands von Cremona, ed. Joseph Becker (MGH SS. rer. Germ. [41]), Hannover – Leipzig ³1915, S. 1-158.;MGH SS rer. Germ. 41;743;1;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._41_S._1;
Widukind von Corvey, Rerum gestarum Saxonicarum libri tres, ed. Georg Waitz, in: MGH SS 3, Hannover 1839, S. 408-467.;MGH SS 3;;408;;http://www.mgh.de/dmgh/resolving/MGH_SS_3_S._408
Widukind von Corvey, Rerum gestarum Saxonicarum libri tres / Die Sachsengeschichte des Widukind von Corvey, ed. Hans-Eberhard Lohmann, überarb. von Paul Hirsch (MGH Script. rer. Germ. [60]), Hannover 1935.;MGH SS rer. Germ. 60;708;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._60;
Ekkehard IV. von St. Gallen, Casuum S. Galli Continuatio I, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1892, S. 75-147.;MGH SS 2;;75;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._75
Einhard, Vita Karoli Magni, ed. Georg Waitz (MGH SS rer. Germ. [25]), Hannover 1911.;MGH SS rer. Germ. 25;728;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._25;
Annales Fuldenses sive Annales regni Francorum orientalis, ed. Friedrich Kurze (MGH SS rer. Germ. [7]), Hannover 1891.;MGH SS rer. Germ. 7;760;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._7;
Regino von Prüm, Chronicon cum Continuatione Treverensi, ed. Friedrich Kurze (MGH SS rer. Germ. [50]), Hannover 1890.;MGH SS rer. Germ. 50;772;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._50;
Astronomus, Vita Hludowici imperatoris, hg. und übers. v. Ernst Tremp, in: Thegan. Die Taten Kaiser Ludwigs – Astronomus. Das Leben Kaiser Ludwigs, ed. Ernst Tremp (MGH SS rer. Germ. 64), Hannover 1995, S. 279-555.;MGH SS rer. Germ. 64;712;279;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._64_S._279;
